title,reviews,ratings,QA
"Apple AirPods (2nd Generation) Wireless Earbuds with Lightning Charging Case Included. Over 24 Hours of Battery Life, Effortless Setup. Bluetooth Headphones for iPhone","560,714 ratings",4.8 out of 5 stars, 1000+ answered questions 
"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone","192,071 ratings",4.6 out of 5 stars, 617 answered questions 
"Amazon Basics 36 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack","649,422 ratings",4.7 out of 5 stars, 480 answered questions 
"SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P2T0B","23,216 ratings",4.8 out of 5 stars, 974 answered questions 
Apple Pencil (2nd Generation),"73,433 ratings",4.8 out of 5 stars, 666 answered questions 
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)","238,431 ratings",4.7 out of 5 stars,
"Amazon Basics 48 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack","679,616 ratings",4.7 out of 5 stars, 619 answered questions 
"Energizer AA Batteries, Double A Long-Lasting Alkaline Power Batteries, 32 Count (Pack of 1)","15,662 ratings",4.8 out of 5 stars, 25 answered questions 
"Roku Express (New, 2022) HD Streaming Device with High-Speed HDMI Cable and Simple Remote (no TV controls), Guided Setup, and Fast Wi-Fi","5,387 ratings",4.7 out of 5 stars, 182 answered questions 
"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black","79,957 ratings",4.5 out of 5 stars, 502 answered questions 
"Amazon Basics 8 Units Pack 9 Volt Performance All-Purpose Alkaline Batteries, 5-Year Shelf Life, Easy to Open Value Package","143,531 ratings",4.7 out of 5 stars, 181 answered questions 
Roku Streaming Stick 4K | Streaming Device 4K/HDR/Dolby Vision with Roku Voice Remote and TV Controls,"50,748 ratings",4.7 out of 5 stars, 1000+ answered questions 
Apple Lightning to 3.5 mm Headphone Jack Adapter,"211,612 ratings",4.7 out of 5 stars, 505 answered questions 
